title,total ratings,installs,average rating,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings
 of Dice,295628,50000000,4.27, BOARD,194900,45677,20155,8733,26161
 of Sultans,547967,100000000,4.31, ROLE PLAYING,378419,75961,30792,13367,49425
 of Thrones: Conquest ™ - Strategy ,284337,100000000,4, ROLE PLAYING,185851,22546,15187,11038,49712
 of War - Fire Age,1492534,500000000,3.59, STRATEGY,787791,132570,128828,58422,384920
"100 PICS Quiz - Guess Trivia, Logo & Picture s",148685,100000000,4.27, TRIVIA,98320,22627,10278,4849,12608
101 Pics: Photo Quiz,54183,50000000,4.41, TRIVIA,41626,3708,2734,1491,4622
101 Yüzbir Okey Plus,2430531,100000000,4.14, BOARD,1763377,127289,78458,41427,419978
1010! Block Puzzle ,466759,100000000,4.41, PUZZLE,332243,64131,29683,11306,29394
101-in-1 s,1136712,100000000,4.5, ARCADE,794750,206822,80806,14190,40143
1945 Air Force - Airplane Shooting s,923982,500000000,4.56, ARCADE,712509,111993,45974,15592,37912
1LINE – One Line with One Touch,482155,500000000,4.37, BOARD,350353,50622,27688,14084,39405
2 3 4 Player Mini s,704695,1000000000,4.37, SIMULATION,532809,56092,29099,17362,69331
2 Pictures 1 Word,160717,50000000,4.56, WORD,130759,11569,5899,3304,9183
2020: My Country,496584,50000000,4.43, STRATEGY,335371,87414,43397,10356,20044
2048 Number puzzle ,1361162,100000000,4.31, PUZZLE,873731,251904,104041,49104,82379
3D Bowling,1171064,1000000000,4.44, SPORTS,850318,152322,74213,25060,69149
3D Maze / Labyrinth,195798,100000000,3.55, ADVENTURE,98812,18705,18566,10027,49686
3D Pool Ball,362339,100000000,4.29, SPORTS,259234,34428,21411,10471,36793
4 Bilder 1 Wort,447182,100000000,4.24, WORD,268217,99646,32509,13708,33099
4 Fotos 1 Palabra,1227499,500000000,4.47, WORD,874832,188710,81957,24555,57442
4 Fotos 1 Palavra,115437,50000000,4.52, WORD,85169,16622,6802,1848,4994
4 Images 1 Mot,383907,100000000,4.35, WORD,235989,89750,31642,9154,17370
4 Immagini 1 Parola,287827,100000000,4.4, WORD,188715,59303,19724,5646,14436
4 Pics 1 Word,1179329,500000000,4.49, WORD,827203,212916,72158,20014,47036
6ix9ine Runner,67388,50000000,4.49, MUSIC,54348,4150,2189,1174,5524
7 Little Words: A fun twist on crossword puzzles,130077,10000000,4.64, WORD,107379,11378,3489,2769,5059
8 Ball Pool,21632735,5000000000,4.44, SPORTS,16281475,2268294,1017204,425693,1640067
88 Fortunes Casino s & Free Slot Machine s,177051,10000000,4.69, CASINO,154436,8822,3644,1672,8474
90's Quiz ,47912,5000000,4.74, TRIVIA,40057,4661,2300,347,545
94 Degrees: fun trivia quiz,334779,100000000,4.17, TRIVIA,195219,69220,29656,12503,28179
"94% - Quiz, Trivia & Logic",2614691,100000000,4.48, TRIVIA,1793644,502914,188160,46183,83787
96%: Family Quiz,77391,10000000,4.21, TRIVIA,46468,15506,6715,2504,6196
A Journey Towards Jesus,82509,10000000,4.75, TRIVIA,69752,8274,2295,608,1577
¿Cuánto sabes de Primaria?,50815,100000000,3.57, TRIVIA,25762,4974,5094,2567,12416
Çanak Okey - Mynet,175837,50000000,4.07, BOARD,121928,10437,8149,4406,30915
Çanak Okey Plus,575124,100000000,4.3, BOARD,445724,24956,15105,8122,81214
A4 Wheel of fortune,163509,50000000,4.39, TRIVIA,127718,9963,4952,2919,17955
aa,905021,500000000,4.21, STRATEGY,608721,105113,66943,23677,100565
Absolute Bingo- Free Bingo s Offline or Online,109069,100000000,4.65, CARD,85752,15131,4027,1369,2788
Ace Fishing: Wild Catch,1375149,100000000,4.4, SPORTS,956797,208855,96014,28267,85213
Adivina la Canción,124963,50000000,3.96, TRIVIA,73341,15419,11944,5991,18265
AdVenture Capitalist: Idle Money Management,1583634,100000000,4.47, SIMULATION,1126714,261874,87807,28370,78865
Adventure Time: Heroes of Ooo,184296,100000000,4.2, ADVENTURE,127282,17122,11488,6373,22028
パズル＆ドラゴンズ(Puzzle & Dragons),594490,100000000,3.87, PUZZLE,332022,79166,56797,26915,99587
AFK Arena,3126336,100000000,4.57, ROLE PLAYING,2238968,619905,158568,31102,77791
Agario,4112075,1000000000,3.92, ACTION,2493810,428315,289428,156522,743997
Age of Ishtaria - ABattle RPG,88866,10000000,4.01, CARD,49649,16835,7470,3670,11240
Age of Magic: Turn-Based Magic RPG & Strategy ,395402,50000000,4.37, ROLE PLAYING,289124,43996,17756,9241,35283
Age of Warring Empire,524462,100000000,4.25, ROLE PLAYING,345143,79079,36211,14372,49655
Age of Z Origins,360216,100000000,4.31, STRATEGY,247952,47567,23604,9260,31830
Airport City,880659,100000000,3.96, SIMULATION,499070,136217,78571,40680,126119
Airport Professions: Fascinating s,54400,100000000,4.29, EDUCATIONAL,41341,2813,1785,1666,6793
Alien Creeps TD - Epic tower defense,853029,100000000,4.42, STRATEGY,587382,144144,56887,19392,45222
Alphabet ,46162,50000000,4.21, TRIVIA,28793,7910,3795,1568,4094
Among Us,11936964,1000000000,3.46, ACTION,5954262,1041297,853099,719378,3368926
Anger of stick 5 : zombie,1238228,1000000000,4.32, ACTION,909585,103667,61570,36884,126519
Angry Birds 2,5720687,1000000000,4.33, CASUAL,4040927,701272,315427,150412,512646
Angry Birds Classic,1470166,1000000000,4.44, ARCADE,1069403,194779,77716,36573,91693
Angry Birds Epic RPG,2650536,100000000,4.55, ROLE PLAYING,2095096,255252,104890,41878,153418
Angry Birds Evolution 2021,467209,100000000,4.25, ROLE PLAYING,317412,59037,28604,14791,47363
Angry Birds Friends,1066764,1000000000,4.22, ARCADE,730329,115731,66556,33722,120423
Angry Birds Go!,3870456,1000000000,4.27, RACING,2753918,362720,224963,101659,427194
Angry Birds POP Bubble Shooter,670105,100000000,4.45, CASUAL,494241,81755,38494,15919,39693
